JobID|JobName|State|ExitCode|ElapsedRaw|AllocCPUS|MaxRSS|Partition|QOS|NodeList|Start|End
17427017|critic-prepare|COMPLETED|0:0|123|8||cpu_short|cpu48|cs607|2026-09-11T21:22:33|2026-09-11T21:24:36
17427017.batch|batch|COMPLETED|0:0|123|8|5580532K|||cs607|2026-09-11T21:22:33|2026-09-11T21:24:36
17427017.extern|extern|COMPLETED|0:0|123|8||||cs607|2026-09-11T21:22:33|2026-09-11T21:24:36
17427021_0|critic-ablate|COMPLETED|0:0|66|8||cpu_short|cpu48|cs605|2026-09-11T21:25:03|2026-09-11T21:26:09
17427021_0.batch|batch|COMPLETED|0:0|66|8|917316K|||cs605|2026-09-11T21:25:03|2026-09-11T21:26:09
17427021_0.extern|extern|COMPLETED|0:0|66|8||||cs605|2026-09-11T21:25:03|2026-09-11T21:26:09
17427021_1|critic-ablate|COMPLETED|0:0|109|8||cpu_short|cpu48|cs607|2026-09-11T21:25:03|2026-09-11T21:26:52
17427021_1.batch|batch|COMPLETED|0:0|109|8|1093564K|||cs607|2026-09-11T21:25:03|2026-09-11T21:26:52
17427021_1.extern|extern|COMPLETED|0:0|109|8||||cs607|2026-09-11T21:25:03|2026-09-11T21:26:52
17427021_2|critic-ablate|COMPLETED|0:0|290|8||cpu_short|cpu48|cs607|2026-09-11T21:25:03|2026-09-11T21:29:53
17427021_2.batch|batch|COMPLETED|0:0|290|8|1411872K|||cs607|2026-09-11T21:25:03|2026-09-11T21:29:53
17427021_2.extern|extern|COMPLETED|0:0|290|8||||cs607|2026-09-11T21:25:03|2026-09-11T21:29:53
17427021_3|critic-ablate|COMPLETED|0:0|203|8||cpu_short|cpu48|cs702|2026-09-11T21:25:03|2026-09-11T21:28:26
17427021_3.batch|batch|COMPLETED|0:0|203|8|910332K|||cs702|2026-09-11T21:25:03|2026-09-11T21:28:26
17427021_3.extern|extern|COMPLETED|0:0|203|8||||cs702|2026-09-11T21:25:03|2026-09-11T21:28:26
17427021_4|critic-ablate|COMPLETED|0:0|417|8||cpu_short|cpu48|cs605|2026-09-11T21:26:11|2026-09-11T21:33:08
