JobIDRaw|JobName|State|ExitCode|Elapsed|TotalCPU|MaxRSS
17356097|fast-final-quality|COMPLETED|0:0|00:05:10|33:30.436|
17356097.batch|batch|COMPLETED|0:0|00:05:10|33:30.436|5529700K
17356097.extern|extern|COMPLETED|0:0|00:05:10|00:00:00|
17356258|fast-quality-confirm|COMPLETED|0:0|00:08:52|59:49.019|
17356258.batch|batch|COMPLETED|0:0|00:08:52|59:49.019|5722396K
17356258.extern|extern|COMPLETED|0:0|00:08:52|00:00:00|
17356287|fast-final-inventory|COMPLETED|0:0|00:05:12|06:13.298|
17356287.batch|batch|COMPLETED|0:0|00:05:12|06:13.298|2543024K
17356287.extern|extern|COMPLETED|0:0|00:05:12|00:00:00|
17356288|fast-final-inventory|COMPLETED|0:0|00:07:29|08:22.509|
17356288.batch|batch|COMPLETED|0:0|00:07:29|08:22.509|4352316K
17356288.extern|extern|COMPLETED|0:0|00:07:29|00:00:00|
17356289|fast-final-inventory|COMPLETED|0:0|00:10:05|11:13.457|
17356289.batch|batch|COMPLETED|0:0|00:10:05|11:13.457|3138900K
17356289.extern|extern|COMPLETED|0:0|00:10:05|00:00:00|
17356657|fast-final-replay|COMPLETED|0:0|00:00:49|01:36.636|
17356657.batch|batch|COMPLETED|0:0|00:00:49|01:36.636|1010832K
17356657.extern|extern|COMPLETED|0:0|00:00:49|00:00:00|
17356769|fast-aligned-profile|COMPLETED|0:0|00:02:29|14:06.166|
17356769.batch|batch|COMPLETED|0:0|00:02:29|14:06.166|5574296K
17356769.extern|extern|COMPLETED|0:0|00:02:29|00:00:00|
