JobID|State|ExitCode|Elapsed|Start|End|NodeList
17586807|CANCELLED by 4923790|0:0|00:04:35|2026-09-13T00:49:55|2026-09-13T00:54:30|cs647
17586807.batch|CANCELLED|0:15|00:04:38|2026-09-13T00:49:55|2026-09-13T00:54:33|cs647
17586807.extern|COMPLETED|0:0|00:04:38|2026-09-13T00:49:55|2026-09-13T00:54:33|cs647
17587276|FAILED|1:0|00:06:38|2026-09-13T00:55:05|2026-09-13T01:01:43|cs654
17587276.batch|FAILED|1:0|00:06:38|2026-09-13T00:55:05|2026-09-13T01:01:43|cs654
17587276.extern|COMPLETED|0:0|00:06:38|2026-09-13T00:55:05|2026-09-13T01:01:43|cs654
17588403|FAILED|1:0|00:22:27|2026-09-13T01:04:05|2026-09-13T01:26:32|cs654
17588403.batch|FAILED|1:0|00:22:27|2026-09-13T01:04:05|2026-09-13T01:26:32|cs654
17588403.extern|COMPLETED|0:0|00:22:27|2026-09-13T01:04:05|2026-09-13T01:26:32|cs654
17588404|FAILED|1:0|00:14:42|2026-09-13T01:04:05|2026-09-13T01:18:47|cs672
17588404.batch|FAILED|1:0|00:14:42|2026-09-13T01:04:05|2026-09-13T01:18:47|cs672
17588404.extern|COMPLETED|0:0|00:14:42|2026-09-13T01:04:05|2026-09-13T01:18:47|cs672
17590231|COMPLETED|0:0|00:14:20|2026-09-13T01:19:13|2026-09-13T01:33:33|cs657
17590231.batch|COMPLETED|0:0|00:14:20|2026-09-13T01:19:13|2026-09-13T01:33:33|cs657
17590231.extern|COMPLETED|0:0|00:14:20|2026-09-13T01:19:13|2026-09-13T01:33:33|cs657
17590849|CANCELLED by 4923790|0:0|00:09:31|2026-09-13T01:26:43|2026-09-13T01:36:14|cs654
17590849.batch|CANCELLED|0:15|00:09:33|2026-09-13T01:26:43|2026-09-13T01:36:16|cs654
17590849.extern|COMPLETED|0:0|00:09:33|2026-09-13T01:26:43|2026-09-13T01:36:16|cs654
17591809|COMPLETED|0:0|00:16:38|2026-09-13T01:36:21|2026-09-13T01:52:59|cs656
17591809.batch|COMPLETED|0:0|00:16:38|2026-09-13T01:36:21|2026-09-13T01:52:59|cs656
17591809.extern|COMPLETED|0:0|00:16:39|2026-09-13T01:36:21|2026-09-13T01:53:00|cs656
17593652|COMPLETED|0:0|00:00:20|2026-09-13T01:55:53|2026-09-13T01:56:13|cs656
17593652.batch|COMPLETED|0:0|00:00:20|2026-09-13T01:55:53|2026-09-13T01:56:13|cs656
17593652.extern|COMPLETED|0:0|00:00:20|2026-09-13T01:55:53|2026-09-13T01:56:13|cs656
