algorithm,round,status,error,config,calibration_rmse,calibration_sparsity,selection_worst_rmse,heldout_rmse,heldout_sparsity,search_feasible,independently_qualified,critic_layer,critique_applied,xm_collapses_to_fixed_nm,area_um2,power_mw,frequency_mhz,latency_ns,energy_nj,energy_efficiency_queries_per_joule,energy_efficiency_dense_equivalent_tops_per_w,slack_ns,hold_slack_ns,route_drc_violations,evidence_id,evidence_class,display_label
rq1_dynax_xm,1,evaluated,,"{""n1"": 8, ""n2"": 7, ""t0_quarters"": 2, ""t1_quarters"": 0}",0.002363811826138993,0.016355994152046804,0.002363811826138993,0.002618049401694358,0.01638031005859375,True,True,uarch,False,False,132392.987999922,47.6655699,300,200.0,9.533113980000001,104897518.491644,0.010070161775197822,0.31882253,0.00417,0,rq1_dynax_xm_R1,original_trajectory,R1
rq1_dynax_xm,2,evaluated,,"{""n1"": 8, ""n2"": 7, ""t0_quarters"": 2, ""t1_quarters"": 0}",0.002363811826138993,0.016355994152046804,0.002363811826138993,0.002618049401694358,0.01638031005859375,False,,kernel,False,False,133226.36599994043,48.061464,300,200.0,9.612292799999999,104033451.83159631,0.009987211375833246,-0.0729401,0.00615974,0,rq1_dynax_xm_R2,original_trajectory,R2
rq1_dynax_xm,3,candidate_failed,Compiler/UArch build budget exhausted; see compiler_feedback.json,"{""n1"": 7, ""n2"": 4, ""t0_quarters"": 2, ""t1_quarters"": 0}",0.036554734741143735,0.1740679824561403,0.03834101435890423,0.03681302409260263,0.17414093017578125,,,compiler,False,False,,,,,,,,,,,rq1_dynax_xm_R3,original_trajectory,R3
rq1_dynax_xm,4,evaluated,,"{""n1"": 8, ""n2"": 7, ""t0_quarters"": 2, ""t1_quarters"": 0}",0.002363811826138993,0.016355994152046804,0.002363811826138993,0.002618049401694358,0.01638031005859375,True,True,kernel,True,False,132392.987999922,47.6655699,300,200.0,9.533113980000001,104897518.491644,0.010070161775197822,0.31882253,0.00417,0,rq1_dynax_xm_R4,original_trajectory,R4
rq1_dynax_xm,5,evaluated,,"{""n1"": 7, ""n2"": 4, ""t0_quarters"": 2, ""t1_quarters"": 0}",0.036554734741143735,0.1740679824561403,0.03834101435890423,0.03681302409260263,0.17414093017578125,True,True,uarch,False,False,117718.83199993092,41.4465591,300,186.66666666666669,7.736691032000001,129254224.55981047,0.012408405557741805,0.40683836,0.00437653,0,rq1_dynax_xm_R5,original_trajectory,R5
rq1_block_nm,1,evaluated,,"{""n"": 7}",0.03358657986150424,0.125,,0.033320809848209114,0.125,False,,compiler,True,,45185.9519999948,14.313414700000001,300,226.66666666666669,3.244373998666667,308225870.510295,0.029589683568988317,-3.10006952,0.00693209,5,rq1_block_nm_R1,original_trajectory,R1
rq1_block_nm,2,evaluated,,"{""n"": 7}",0.03358657986150424,0.125,,0.033320809848209114,0.125,False,,compiler,True,,42246.91799999584,13.6186369,300,230.0,3.132286487,319255599.43201965,0.03064853754547389,-1.81639135,0.00819245,1,rq1_block_nm_R2,original_trajectory,R2
rq1_block_nm,3,evaluated,,"{""n"": 7}",0.03358657986150424,0.125,,0.033320809848209114,0.125,False,,uarch,True,,42167.11799999562,13.8443168,300,233.33333333333334,3.230340586666667,309564881.2164054,0.029718228596774917,-1.80368257,0.00337705,0,rq1_block_nm_R3,original_trajectory,R3
rq1_block_nm,4,evaluated,,"{""n"": 7}",0.03358657986150424,0.125,,0.033320809848209114,0.125,False,,uarch,True,,42514.24799999581,13.874416199999999,300,286.6666666666667,3.977332644,251424783.77023575,0.02413677924194263,-1.67740512,0.0080512,1,rq1_block_nm_R4,original_trajectory,R4
rq1_block_nm,5,evaluated,,"{""n"": 7}",0.03358657986150424,0.125,,0.033320809848209114,0.125,False,,uarch,False,,42292.93599999565,13.7061542,300,233.33333333333334,3.198102646666667,312685398.3383818,0.03001779824048466,-1.85258663,-2.837e-05,0,rq1_block_nm_R5,original_trajectory,R5
